district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,583152,61.63,28.43,5.59,0.11,1.48,0.1,0.52
2,District 2,563994,43.15,49.58,3.64,0.13,1.18,0.08,0.27
3,District 3,580682,68.21,23.56,4.44,0.1,1.27,0.02,0.29
4,District 4,534256,30.37,57.53,5.08,0.09,4.19,0.04,0.54
5,District 5,586877,39.99,48.09,5.06,0.13,3.72,0.04,0.69
6,District 6,529865,72.57,9.61,7.33,0.06,7.79,0.02,0.42
7,District 7,468293,37.6,33.36,13.34,0.14,13.04,0.05,0.4
8,District 8,572041,61.86,30.33,4.53,0.11,1.12,0.09,0.28
9,District 9,561535,73.66,10.52,8.79,0.08,4.76,0.02,0.3
10,District 10,596642,66.49,23.36,5.34,0.13,1.87,0.02,0.27
11,District 11,565328,69.0,17.83,7.54,0.08,2.87,0.07,0.43
12,District 12,581358,55.17,36.6,4.04,0.15,1.46,0.04,0.34
13,District 13,542681,19.78,67.49,7.26,0.08,3.03,0.11,0.55
14,District 14,567802,74.33,14.22,8.06,0.08,0.87,0.08,0.26
