statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
13,001,13001,Appling County,13325
13,003,13003,Atkinson County,5275
13,005,13005,Bacon County,8031
13,007,13007,Baker County,2230
13,009,13009,Baldwin County,34930
13,011,13011,Banks County,14586
13,013,13013,Barrow County,63291
13,015,13015,Bartow County,84153
13,017,13017,Ben Hill County,12540
13,019,13019,Berrien County,13896
13,021,13021,Bibb County,115455
13,023,13023,Bleckley County,9833
13,025,13025,Brantley County,14412
13,027,13027,Brooks County,12782
13,029,13029,Bryan County,33578
13,031,13031,Bulloch County,64445
13,033,13033,Burke County,18298
13,035,13035,Butts County,20950
13,037,13037,Calhoun County,4503
13,039,13039,Camden County,42670
13,043,13043,Candler County,7804
13,045,13045,Carroll County,90439
13,047,13047,Catoosa County,52888
13,049,13049,Charlton County,10164
13,051,13051,Chatham County,226509
13,053,13053,Chattahoochee County,7431
13,055,13055,Chattooga County,19044
13,057,13057,Cherokee County,201736
13,059,13059,Clarke County,100027
13,061,13061,Clay County,2288
13,063,13063,Clayton County,200569
13,065,13065,Clinch County,4747
13,067,13067,Cobb County,540548
13,069,13069,Coffee County,30755
13,071,13071,Colquitt County,31057
13,073,13073,Columbia County,117789
13,075,13075,Cook County,12735
13,077,13077,Coweta County,112654
13,079,13079,Crawford County,9567
13,081,13081,Crisp County,14820
13,083,13083,Dade County,12793
13,085,13085,Dawson County,23396
13,087,13087,Decatur County,21408
13,089,13089,DeKalb County,533250
13,091,13091,Dodge County,15810
13,093,13093,Dooly County,8939
13,095,13095,Dougherty County,61873
13,097,13097,Douglas County,104638
13,099,13099,Early County,7969
13,101,13101,Echols County,2248
13,103,13103,Effingham County,49483
13,105,13105,Elbert County,15156
13,107,13107,Emanuel County,16947
13,109,13109,Evans County,7709
13,111,13111,Fannin County,21482
13,113,13113,Fayette County,89151
13,115,13115,Floyd County,73596
13,117,13117,Forsyth County,170708
13,119,13119,Franklin County,18183
13,121,13121,Fulton County,785082
13,123,13123,Gilmer County,25693
13,125,13125,Glascock County,2269
13,127,13127,Glynn County,65266
13,129,13129,Gordon County,42954
13,131,13131,Grady County,18483
13,133,13133,Greene County,16183
13,135,13135,Gwinnett County,600177
13,137,13137,Habersham County,34414
13,139,13139,Hall County,140258
13,141,13141,Hancock County,7407
13,143,13143,Haralson County,23710
13,145,13145,Harris County,28171
13,147,13147,Hart County,20849
13,149,13149,Heard County,9040
13,151,13151,Henry County,180709
13,153,13153,Houston County,121813
13,155,13155,Irwin County,7099
13,157,13157,Jackson County,61347
13,159,13159,Jasper County,11944
13,161,13161,Jeff Davis County,10416
13,163,13163,Jefferson County,11524
13,165,13165,Jenkins County,7012
13,167,13167,Johnson County,7508
13,169,13169,Jones County,21981
13,171,13171,Lamar County,15363
13,173,13173,Lanier County,7594
13,175,13175,Laurens County,36795
13,177,13177,Lee County,24576
13,179,13179,Liberty County,47244
13,181,13181,Lincoln County,6220
13,183,13183,Long County,12889
13,185,13185,Lowndes County,88242
13,187,13187,Lumpkin County,28308
13,189,13189,McDuffie County,16227
13,191,13191,McIntosh County,9588
13,193,13193,Macon County,9448
13,195,13195,Madison County,23538
13,197,13197,Marion County,5598
13,199,13199,Meriwether County,16514
13,201,13201,Miller County,4439
13,205,13205,Mitchell County,15952
13,207,13207,Monroe County,23147
13,209,13209,Montgomery County,6757
13,211,13211,Morgan County,16130
13,213,13213,Murray County,29449
13,215,13215,Muscogee County,149126
13,217,13217,Newton County,84828
13,219,13219,Oconee County,31149
13,221,13221,Oglethorpe County,11772
13,223,13223,Paulding County,127737
13,225,13225,Peach County,21687
13,227,13227,Pickens County,27871
13,229,13229,Pierce County,14988
13,231,13231,Pike County,15107
13,233,13233,Polk County,30767
13,235,13235,Pulaski County,7948
13,237,13237,Putnam County,17751
13,239,13239,Quitman County,1947
13,241,13241,Rabun County,13873
13,243,13243,Randolph County,4512
13,245,13245,Richmond County,155380
13,247,13247,Rockdale County,68802
13,249,13249,Schley County,3393
13,251,13251,Screven County,11120
13,253,13253,Seminole County,7259
13,255,13255,Spalding County,51482
13,257,13257,Stephens County,20751
13,259,13259,Stewart County,4166
13,261,13261,Sumter County,21818
13,263,13263,Talbot County,4793
13,265,13265,Taliaferro County,1261
13,267,13267,Tattnall County,18523
13,269,13269,Taylor County,6188
13,271,13271,Telfair County,9288
13,273,13273,Terrell County,6812
13,275,13275,Thomas County,34380
13,277,13277,Tift County,29392
13,279,13279,Toombs County,18653
13,281,13281,Towns County,11127
13,283,13283,Treutlen County,4917
13,285,13285,Troup County,51190
13,287,13287,Turner County,6596
13,289,13289,Twiggs County,6251
13,291,13291,Union County,21974
13,293,13293,Upson County,21526
13,295,13295,Walker County,53711
13,297,13297,Walton County,76505
13,299,13299,Ware County,26161
13,301,13301,Warren County,4112
13,303,13303,Washington County,15453
13,305,13305,Wayne County,22657
13,307,13307,Webster County,1979
13,309,13309,Wheeler County,6140
13,311,13311,White County,22980
13,313,13313,Whitfield County,66870
13,315,13315,Wilcox County,7027
13,317,13317,Wilkes County,7431
13,319,13319,Wilkinson County,6753
13,321,13321,Worth County,15777
