precinct_id,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
APPLING - 1B,1918,64,1851,1619,252,3,0,0,0,0,0,0,0,5,0,265,1467,61,1406,1258,154,4,0,0,0,0,0,0,0,7,0,161
APPLING - 1C,1458,139,1354,1245,146,0,0,0,0,36,20,0,0,20,0,158,1112,21,1105,997,118,0,0,0,0,2,22,0,0,22,0,118
APPLING - 2,3617,244,3272,1707,1377,0,5,0,0,45,9,16,0,9,9,1442,2745,137,2548,1251,1196,0,4,0,0,3,10,0,0,10,4,1200
APPLING - 3A1,1188,308,886,836,64,2,0,0,0,0,0,0,0,0,0,52,751,146,608,561,47,4,0,0,0,0,0,0,0,3,0,41
APPLING - 3C,2524,131,2445,1714,613,0,27,0,50,14,15,0,0,15,35,650,1904,47,1913,1351,500,0,26,0,50,0,14,0,5,16,26,508
APPLING - 4B,1233,15,1233,1074,19,0,0,0,0,129,22,0,0,22,0,117,960,15,955,927,13,0,0,0,0,0,11,0,0,12,0,13
APPLING - 4D,2098,150,1939,1699,184,0,11,0,9,4,8,8,0,8,23,201,1621,53,1531,1350,125,0,18,0,13,19,15,0,0,15,18,139
APPLING - 5A,1982,184,1800,1450,201,10,26,0,64,34,2,15,0,12,41,236,1618,73,1547,1247,147,9,28,0,69,33,1,16,0,10,44,181
APPLING - 5B,1789,146,1646,1137,497,0,0,0,0,7,1,0,0,1,0,501,1138,25,1125,902,218,0,0,0,0,0,0,0,0,0,0,219
ATKINSON - 0001,2818,519,2342,1999,102,0,0,0,1,66,57,53,0,54,32,151,1954,209,1797,1544,108,0,0,0,0,0,52,16,0,54,9,112
ATKINSON - 0002,1388,322,1067,1040,14,0,0,0,1,0,0,0,0,0,0,14,992,131,864,851,6,0,0,0,0,0,0,0,0,0,0,6
ATKINSON - 0003,1816,233,1583,1048,446,0,0,0,0,91,0,0,0,0,0,537,1360,146,1218,827,356,0,0,0,0,36,0,0,0,0,0,392
ATKINSON - 0004,1304,220,1040,423,573,0,0,0,2,109,7,0,0,10,21,699,952,104,789,322,534,0,0,0,0,0,16,0,0,14,7,530
BACON - DOUGL,10824,758,10066,8027,1540,0,0,13,11,149,276,50,0,276,50,1689,8044,336,7708,6377,1120,0,0,12,15,69,115,0,0,115,0,1189
BAKER - A,603,0,609,235,351,0,0,0,2,0,28,0,0,17,0,348,513,0,512,203,283,2,0,0,0,0,5,0,0,5,0,282
BAKER - E,491,4,467,344,91,0,0,0,2,0,2,0,0,2,15,93,409,1,396,295,82,0,0,0,0,0,3,0,0,3,0,82
BAKER - H,562,0,578,187,386,0,0,0,0,0,0,0,0,11,0,385,420,0,430,132,302,4,0,0,0,0,0,0,0,6,0,303
BAKER - M,574,6,565,399,45,0,167,0,4,0,8,0,0,8,152,47,524,2,525,363,45,0,166,0,0,0,8,0,0,8,166,45
BAKER - N,450,8,443,246,162,0,0,0,3,0,0,0,0,0,0,162,362,11,351,211,109,1,0,0,0,0,0,0,0,1,0,109
BALDWIN - 1714,1683,61,1628,996,501,9,15,0,0,15,32,7,0,41,22,518,1344,50,1300,852,361,11,13,0,0,15,32,11,0,43,21,367
BALDWIN - 318,4211,147,4068,2942,1072,9,109,0,0,9,32,0,0,41,109,1074,3228,49,3180,2421,653,12,90,0,0,13,32,3,0,44,92,665
BALDWIN - 319,2913,47,2861,1538,1299,0,6,79,0,4,0,0,7,3,4,1312,2482,39,2433,1172,1263,0,7,76,0,9,0,0,5,3,6,1280
BALDWIN - 321E,2051,44,2000,333,1543,9,0,0,20,29,37,0,0,46,15,1576,1551,22,1529,314,1148,6,0,0,8,18,34,0,0,40,0,1164
BALDWIN - 321W,4767,12,4755,1280,3301,0,0,0,0,110,4,0,31,26,0,3438,3555,13,3542,977,2471,0,0,4,0,55,0,0,28,20,0,2553
BALDWIN - 322,2299,34,2266,2022,329,0,0,0,0,10,0,0,4,4,0,338,1842,18,1828,1620,253,0,0,0,0,5,0,0,0,0,0,256
BALDWIN - CTY1,2940,88,2853,1089,1576,0,192,48,0,6,0,0,3,7,185,1584,2218,87,2133,915,1019,0,138,32,0,0,0,0,3,5,137,1020
BALDWIN - CTY2,3860,155,3692,1651,2035,0,8,0,17,39,0,20,0,9,14,2077,3758,90,3650,1667,1972,0,9,0,17,10,0,0,0,8,13,1988
BALDWIN - CTY3,2428,58,2369,804,1227,0,0,0,0,49,4,5,0,4,23,1283,1867,43,1816,700,973,9,0,0,0,12,7,0,0,12,19,988
BALDWIN - CTY4,2257,53,2215,1567,417,0,12,0,8,20,0,0,0,0,11,433,2176,54,2129,1575,362,0,15,0,9,17,0,0,0,0,13,379
BALDWIN - CTY5,2165,51,2122,1067,954,0,28,25,12,1,6,0,18,24,10,964,1853,45,1826,997,728,0,25,24,9,0,9,0,19,32,6,739
BALDWIN - CTY6,2360,58,2300,1660,803,0,3,2,0,11,0,0,0,0,3,824,2000,53,1946,1434,569,0,0,1,0,12,0,2,0,0,3,595
BALDWIN - MERI,3712,96,3613,2395,925,0,231,0,0,0,6,55,0,6,295,927,2882,78,2803,2004,584,0,184,0,0,0,6,55,0,6,242,583
BALDWIN - MONT,5240,49,5191,3116,1944,5,0,0,0,68,46,0,12,63,0,2024,4181,38,4143,2556,1509,0,0,0,0,27,38,4,9,47,4,1545
BANKS - 0001,2156,114,2025,1830,36,7,72,0,0,54,3,0,0,11,69,89,1505,42,1461,1309,22,0,63,0,0,42,0,0,0,0,63,53
BANKS - 0002,1111,158,948,915,12,16,0,0,0,9,1,0,0,17,0,21,817,38,776,747,12,16,0,0,0,0,0,0,0,17,0,12
BANKS - 0003,654,0,648,627,2,0,0,0,0,0,3,0,0,3,0,5,557,0,559,537,2,0,0,0,0,3,6,0,0,6,0,6
BANKS - 0004,1055,100,983,876,60,0,31,0,0,5,17,0,0,18,31,62,886,67,835,742,53,0,22,0,0,0,14,0,0,12,20,65
BANKS - 0005,520,0,518,511,0,0,0,5,0,0,3,0,0,3,0,0,399,0,395,394,0,0,0,0,0,0,4,0,0,3,0,0
BANKS - 0006,2866,203,2653,2178,302,0,92,0,0,0,68,0,0,67,92,309,2329,192,2123,1792,195,0,100,0,0,0,33,0,0,35,102,194
BANKS - 0007,1693,115,1565,1492,0,0,0,0,0,128,13,0,0,12,0,106,1351,55,1287,1262,0,0,0,0,0,30,13,0,2,14,0,44
BANKS - 0008,858,82,777,728,10,2,54,0,0,12,9,0,0,10,57,24,657,36,620,584,5,0,62,0,0,0,5,0,0,6,62,6
BANKS - 0009,932,26,924,918,0,1,0,0,0,0,3,0,0,5,0,1,740,13,741,739,0,1,0,0,0,2,5,0,0,4,0,4
BANKS - 0010,2418,37,2374,2308,19,0,9,0,0,10,11,0,8,20,11,36,1841,6,1823,1761,15,0,8,0,0,8,8,0,8,20,8,37
BANKS - 0011,2651,127,2532,2395,67,0,0,0,0,0,7,0,5,11,0,86,2097,36,2065,1992,34,0,0,0,0,13,9,0,7,14,0,33
BANKS - 0012,959,0,961,948,0,0,0,0,0,0,2,0,0,2,0,0,739,0,745,731,0,0,0,0,0,0,3,0,0,3,0,0
BANKS - 0013,839,2,840,839,4,0,11,0,0,0,0,0,0,0,9,4,648,2,649,646,3,0,13,0,0,1,1,0,0,1,13,3
BARROW - 01,5115,513,4631,3446,821,11,5,0,23,197,111,17,0,123,27,1010,3843,258,3589,2843,562,0,5,0,9,81,79,15,0,80,34,615
BARROW - 02,9700,1122,8584,6640,1112,24,415,0,3,114,104,34,1,126,448,1219,7419,731,6679,5101,977,24,281,0,0,112,74,17,2,100,298,1082
BARROW - 03,9438,1585,7846,5986,921,21,686,0,13,136,56,33,0,78,726,1059,7040,1042,5994,4749,632,10,472,0,21,61,52,5,0,62,481,690
BARROW - 04,5834,473,5365,4695,381,0,151,0,0,134,18,19,7,25,168,517,4590,317,4282,3828,333,0,90,0,0,35,10,11,8,18,99,377
BARROW - 05,11734,1026,10710,8763,1299,0,308,0,24,271,39,0,0,40,311,1571,8757,590,8174,6819,1018,5,209,0,17,71,32,0,0,35,210,1088
BARROW - 08,10676,1273,9399,7719,830,0,652,0,3,55,62,56,0,61,705,883,7736,763,6965,5792,671,0,408,0,0,14,55,11,0,57,418,686
BARROW - 13,18466,2107,16372,11832,3473,0,501,0,19,459,54,213,0,56,693,3930,13814,1211,12616,9360,2603,0,402,0,20,114,46,187,0,46,564,2724
BARROW - 16,14603,2407,12153,7951,3343,0,374,0,89,162,55,94,25,79,480,3552,10103,1148,8943,5972,2427,0,246,0,73,43,37,64,27,63,319,2529
BARTOW - 01,9715,535,9181,7984,852,10,33,0,27,129,143,6,0,152,39,981,7288,279,7010,6200,645,8,41,0,18,0,95,0,0,103,41,647
BARTOW - 02,7263,1091,6169,4662,1242,0,57,0,71,4,112,14,3,117,71,1249,5709,533,5176,3961,1023,4,38,0,71,0,65,11,3,73,49,1026
BARTOW - 03,10507,1299,9094,6761,1843,0,175,85,4,108,47,40,0,51,213,1944,8481,895,7543,5732,1431,0,181,29,2,44,42,18,0,45,197,1462
BARTOW - 04,12230,1705,10610,8442,1893,0,218,5,0,35,46,126,0,46,210,1938,8900,1037,7878,6457,1268,0,82,9,0,49,49,63,0,49,92,1305
BARTOW - 05,8523,1430,7072,5804,803,1,4,266,37,122,0,131,0,0,55,939,6268,883,5380,4664,627,6,6,111,0,19,0,44,0,4,40,641
BARTOW - 06,5206,400,4818,4533,119,5,13,1,0,95,27,0,0,32,13,183,3901,314,3605,3408,124,0,17,0,3,65,1,0,0,2,17,155
BARTOW - 07,3973,162,3805,3290,368,0,18,86,0,15,5,8,17,20,28,399,3211,94,3111,2782,226,0,15,51,0,0,8,0,18,25,15,244
BARTOW - 08,7084,306,6745,5945,507,5,40,0,55,85,101,0,0,106,40,598,5384,238,5134,4559,364,5,42,0,28,53,78,0,0,83,42,412
BARTOW - 09,1732,131,1605,1522,26,0,27,0,0,0,31,2,0,32,17,30,1407,44,1359,1312,16,0,39,0,0,0,2,0,0,2,26,25
BARTOW - 10,4117,191,3923,3384,328,6,7,5,38,73,84,18,8,100,27,432,3313,120,3198,2745,270,6,4,5,10,39,90,9,9,111,16,333
