county,precinct_id,friendly_name
MUSCOGEE,110,Cussetta Road
MUSCOGEE,113,New Mount Pilgrim
NEWTON,05CM,Covington Mills
PIERCE,3A,St. Johns/Blackshear
ROCKDALE,BA,Barksdale
ROCKDALE,BT,Bethel
ROCKDALE,CO,Conyers
ROCKDALE,FI,Fieldstone
ROCKDALE,FS,Flat Shoals
ROCKDALE,HC,Honey Creek
ROCKDALE,HI,Hightower
ROCKDALE,LA,The Lakes
ROCKDALE,LO,Lorraine
ROCKDALE,MA,Magnet
ROCKDALE,MI,Milstead
ROCKDALE,OT,Olde Towne
ROCKDALE,RO,Rockdale
ROCKDALE,SA,Salem
ROCKDALE,SH,Sheffield
ROCKDALE,SM,Smyrna
ROCKDALE,SP,St. Pius
ROCKDALE,ST,Stanton
BALDWIN,CTY3,East Milledgeville
DECATUR,513,Joe L. Sweet Jr. Community Center
THOMAS,104,Coolidge
THOMAS,112,Merrillville
THOMAS,116,Patten
THOMAS,117,Pavo
TROUP,10,Hillcrest
TROUP,11,Grace
GLYNN,104JI,Jekyll Island
GLYNN,201NSI,North Saint Simons Island
GLYNN,202CSI,Central Saint Simons Island
GLYNN,203SSI,South Saint Simons Island
GLYNN,2953,Jekyll Island
GLYNN,2713,North Saint Simons Island
GLYNN,2933,Central Saint Simons Island
GLYNN,2943,South Saint Simons Island
GLYNN,101MAR,Satilla Marshes
GLYNN,102BLY,Blythe Island Baptist Church
GLYNN,103BRK,Brookman
GLYNN,301COG,Sterling Church of God
GLYNN,303NGY,North Glynn
GLYNN,304BAL,Ballard Community Building
GLYNN,402THE,The Chapel
GLYNN,500CPM,College Place
GLYNN,501HCP,Howard Coffin Park
GLYNN,502UPP,Urbana-Perry Parks
GLYNN,1933,Satilla Marshes
GLYNN,1943,Blythe Island Baptist Church
GLYNN,1923,Brookman
GLYNN,3713,Sterling Church of God
GLYNN,3743,North Glynn
GLYNN,4913,Ballard Community Building
GLYNN,4933,The Chapel
GLYNN,5913,College Place
GLYNN,5923,Howard Coffin Park
GLYNN,5933,Urbana-Perry Parks
CHATHAM,1-05C,Jewish Educational Alliance
LOWNDES,2,Hahira Historical Society
LOWNDES,3,Hahira Community Center
LOWNDES,13,Valdosta State University
LOWNDES,19,South Lowndes
SUMTER,C2-27,Junior Reserve Officers' Training Corps Building
WAYNE,4A,Veterans of Foreign Wars
CHATHAM,3-13C,New Covenant Seventh Day Adventist Church
COLUMBIA,110,Columbia County Fire Headquarters
LIBERTY,3,Liberty County Complex
CHATHAM,1-16C,Ferguson Avenue Baptist Church
LAMAR,1712B,Senior Citizen Building
LAMAR,1712ABC,Barnesville Civic Center
LAMAR,1713,Lamar County Service Center
SPALDING,1,Second Baptist Church
